wl,n,k
8.22,3.46977989,9.2369E-06
8.23,3.46977936,9.3456E-06
8.24,3.469778824,9.4569E-06
8.25,3.46977828,0.000009571
8.26,3.469777728,9.6879E-06
8.27,3.469777168,9.8078E-06
8.28,3.4697766,9.9309E-06
8.29,3.469776023,1.00572E-05
8.3,3.469775438,0.000010187
8.31,3.469774843,1.03204E-05
8.32,3.469774239,1.04575E-05
8.33,3.469773625,1.05986E-05
8.34,3.469773001,1.07439E-05
8.35,3.469772367,1.08935E-05
8.36,3.469771722,1.10478E-05
8.37,3.469771065,1.12069E-05
8.38,3.469770397,1.13711E-05
8.39,3.469769716,1.15408E-05
8.4,3.469769024,1.17161E-05
8.41,3.469768318,1.18975E-05
8.42,3.469767598,1.20853E-05
8.43,3.469766864,1.22798E-05
8.44,3.469766116,1.24815E-05
8.45,3.469765352,1.26909E-05
8.46,3.469764572,1.29083E-05
8.47,3.469763775,1.31344E-05
8.48,3.469762961,1.33696E-05
8.49,3.469762128,1.36146E-05
8.5,3.469761277,1.38701E-05
8.51,3.469760405,1.41368E-05
8.52,3.469759513,1.44154E-05
8.53,3.469758599,1.47068E-05
8.54,3.469757662,0.000015012
8.55,3.469756701,1.53321E-05
8.56,3.469755715,0.000015668
8.57,3.469754702,1.60211E-05
8.58,3.469753661,1.63928E-05
8.59,3.469752591,1.67845E-05
8.6,3.469751491,1.71979E-05
8.61,3.469750358,1.76348E-05
8.62,3.46974919,1.80973E-05
8.63,3.469747987,1.85877E-05
8.64,3.469746745,1.91084E-05
8.65,3.469745464,1.96623E-05
8.66,3.46974414,2.02525E-05
8.67,3.469742771,2.08825E-05
8.68,3.469741355,2.15563E-05
8.69,3.469739889,2.22782E-05
8.7,3.469738371,2.30533E-05
8.71,3.469736796,2.38873E-05
8.72,3.469735162,2.47864E-05
8.73,3.469733467,2.57579E-05
8.74,3.469731705,2.68101E-05
8.75,3.469729875,2.79524E-05
8.76,3.469727972,2.91954E-05
8.77,3.469725994,3.05515E-05
8.78,3.469723936,3.20348E-05
8.79,3.469721796,3.36616E-05
8.8,3.469719572,3.54505E-05
